document_id,clean_text,sentiment
1,The soaring epicness of second part of the film and the excellent climax were tainted by bloated boring and technically terrible first half It had cringe dialogues poorly choreographed action scenes and unnecessary subplotsThe props used throughout the movie looked like cheap foam There was too much inspiration drawn from Hollywood moviesThe first attempt from Nag Ashwin is average at best I hope he improves significantly in the second part of this film To do so he should focus on Mahabharata and adapt it as faithfully as possible The scifi elements of the movie were most disappointing whereas the characters from the great epic were thoroughly exhilarating,positive
2,This is just a replica of Star wars movie The supream leader will look you like emperor palpatine Most of the technology and scene and army build up are already there in Star Wars Series So if you have watched lots of Hollywood movies you will not feel that you are watching this kind of movie first timeGood side is that Kalki is the first movie in Indian cinema which have this level of VFX which can completely give a better competition to any Hollywood science fiction moviesStory line of this movie could be much better but and its taken hour but only very few things we have experienced in the story,positive
3,I dont understand the obsession with hero entry and why people are not against it if you have a good story then just stick with why do you need the star to be bigger than the story first hour of story is skippable completely rest vfx was top notch even the ending was very good but this obsession with hero needs to stop also the director did not invent the character Kalki nor any references that they took from Mahabharata so please be respectful because its a part of our history not something that you can mock or not make it serious just because you want the hero entry or want films to have some useless and unfunny comedy,positive
4,I didnt go in with big hopes but i was expecting better than Adipurush this was way betterI watched it in IMAX Di dont know if there is d but there are no d shows in London There are lots of positives in this film and some negatives which could have been avoided and made it a better productNegativesIn the first half whenever Prabhas came on screen it was unbearable His intro scene was too far fetched unrelated to the story and unnecessaryAshwathammas young version of Amitabh is literally animated it was bad a decision to do that They casted so many cameos they couldve just casted Abhishek in that role and give Amitabhs voice overI expected the vfx to be not great in many parts and that is acceptable given the budgets But i think some choices still can be made to reduce the bad frames from the flim like reducing some scenes where the characters are doing extraordinary stunts nor does it look good and can easily replaced by a normal punch which atleast doesnt look badLuckily there are no dance numbers but one sequence where Prabhas and Disha are in the complex for work and they start looking around the complex are attending parties dancing etc for so long without even getting noticed I mean you need mil units to get into that place and it is a tough job have that many units but these guys are just fooling around there A context in how they could do that wouldve been great and given a better explanation to why Prabhas wants to go inPositivesThe vfx is on the better side while some of it being great Throughout the movie there is a consistency in good visuals with some patches of bad Overall happy with them and wish they improve in the second oneWorld building they have done is good character building is good and there a lots of small bits and pieces in the storyline which make it interesting watchAll main characters except Bhairava have been written well acted superbly and look magnificent but this movie is carried by Aswathamma I mean whenever he came on screen it felt goodLoved all the Mahabharat scenes They looked good were shot well and it was great to see our heros on bug screenPowerful end to the movie and I hope they dont take too long for the second partOverall a good movie and I want the makers to attempt such movies and keep improving so we can move towards the better product,positive
5,Its very tricky to do justice to a big story in time limits of a regular movie but this does have that balance in first released partGood Some key flashback context like combat bw arjun Karn were spot on Story is gripping Visuals are amazingThing that can be better Prabhas in first part maybe they could have gone with usual dubbing of Sharad kelkar in Hindi though time is given to build character in first half but apart from Amitabh Ji no one is able to justice to it and create connect that why first half seems boring at least in Hindi Action is there in st half as well but its some thing once might want to skip but in nd Half you dont want to miss itOverall its a good blend of Indian mythology with StarwarsScifi post apocalyptic movieWhat totally went over my head Prabhas transition from Kal Bhairava to Karna,positive
6,A unique genre a well written story script strong characters give this movie a strong start The extravagant visuals very detailed crisp VFX gives the audience much needed thrillHowever one cannot forgo the resemblance of some VFX shots have with movies like Dune Starwars mad max black panther transformersAlthough huge kudos to the team for producing a movie which is equivalent to the scale of above mentioned moviesPros Time taken to build characters explain world Stunts crisp bright visuals Screenplay Direction Comedy Cons Music background score is unique but doesnt give the much needed grandeur to the visuals and scenes repeated use of same score abruptly high background score during stunts Editing especially first half,neutral
7,Storyline Casting Second Half Sr AB Prabhass overacting VFX EDITING Over build up in Ist halfThe director was definitely inspired by Indian epic stories and rich historical texts But at the same side He was also influenced by Hollywood movies specifically released DUNE the theme of future AD and many more like Deepikas pregnancy the ship warhead like palace have been copied from it Now as the IInd installment of DUNE has already been released we will expect the war sequences in upcoming KAKLI part twoIm not criticizing the INDIAN movies but if you have such a stron storyline and good starcast then why you need cheeky methods just to attract masses I wish the director had maintained the seriousness of the subject that would have created an impact after the movie,positive
8,I just watched Kalki and its hard to express my disappointmentFirst off the movie is riddled with unnecessary comedic dialogues that feel completely out of place especially given the supposedly intense theme Prabhas who is usually a powerhouse sadly comes across as a CLOWNISH character hereHis performance is awkward and forced making it difficult to take the film seriously Kyras character adds little value with most of her screen time dedicated to pointless talks that drag the narrative down The entire movie feels like its overdoing everythingbe it the action sequences emotional moments or the supposed comedy which is jarringly out of sync with the rest of the movieKamal Haasan despite being a legendary actor has almost no role or screen presence It feels like they used his name just to draw audiences with no real contribution from him onscreenAdditionally the setup blatantly borrows from Mad Max Fury Road but fails miserably to capture the essence of the original In the end Kalki is a poorly executed overhyped messThis one is a hard pass,neutral
9,Buckle up for a rollercoaster ride through cinematic chaos The story idea is an absolute gem brimming with potential and the characters are nothing short of a casting directors dreameach one brimming with pizzazz and personality But alas their development seems to have been left in the microwave a bit too long coming out halfbakedThe screenplay Its flatter than a weekold soda Though I must admit it does have its fizz in a few key moments like the interval and the climaxDialogues Lets just say they wont be winning any literary awardsNow onto the comedyits the kind that instead of tickling your funny bone it goes straight for the jugular and not in a good way The worldbuilding feels like it was put together with duct tape and imagination lacking the immersive magic we hoped forBut lets talk about the legendary Amitabh Bachchan who is stellar as alwaysPrabhas gives it his all bless his heartKamal Hassan makes a brief yet dazzling appearance hinting at more brilliance in the next instalmentSaswata Chatterjee He brings his Agame no doubt about itDeepika Padukone looks fine and delivers a decent performance and her Telugu dubbing is better than that in the trailerDisha Patani is scorching enough to set the screen on fire in her limited screen timeThe rest of the cast including Pashupati Shobhana and Rajendra Prasad put in decent efforts However the film is sprinkled with cameos like confetti at a surprise partymost of which are more of a headscratcher than a treatThe action scenes Theyre as disappointing as a soggy French fryCinematography is serviceable background music hits the right notes but the songs miss the markProduction values are respectable but direction sails somewhere in the middling seas of mediocritySome VFX are eyepoppingly good thoughOverall its a mixed bag of delights and letdownsa cinematic hotpot where the ingredients are only halfcooked Enjoy it for what it is but dont be surprised if you leave the theater feeling a little unsatisfied,positive
10,Over buildup music over acting by prabhas Amitabh bachchans acting is the only part of the film which deserve some appriciation fighting scenes of amitabh bachchan are very good where as prabhas do a very nice over acting in almost all of his scene And the over buildup music and forcefull emotions are also the worst part of this film It is a humble request to the director please dont smoke before shooting and make next part of this film watchable so that you dont have to over sell your movie next time And please tell prabhas not to make the next part unbearable as this oneConclusion over sold movie over buildup music and overaction by prabhas only AMITABH BACHCHANS character make the movie worthy,positive
